NO,시장명,소재지도로명주소,위도,경도,시/도,시/군/구
721,아현시장,서울특별시 마포구 마포대로21길 70(아현동)일대,37.556326,126.9553524,서울특별시 ,마포구
722,망원시장,서울특별시 마포구 망원로8길 3~70(망원동)일대,37.5565309,126.9062482,서울특별시 ,마포구
723,망원동월드컵시장,서울특별시 마포구 망원로7길 3~31(망원동)일대,37.5578893,126.9060379,서울특별시 ,마포구
724,마포농수산물시장,서울특별시 마포구 월드컵로 235(성산동),37.5653679,126.8985935,서울특별시 ,마포구
725,마포시장,"서울특별시 마포구 마포대로6길 16(공덕동)(C동), 만리재로 23(공덕동)(A동)",37.5453809,126.9535624,서울특별시 ,마포구
726,공덕시장,서울특별시 마포구 만리재로 19(공덕동),37.5456345,126.9534678,서울특별시 ,마포구
727,상하전통시장,전라북도 고창군 상하면 명동1길 3,35.44422672,126.4912177,전라북도 ,고창군
728,대산전통시장,전라북도 고창군 대산면 공음대산로 935,35.34010874,126.5989796,전라북도 ,고창군
729,해리전통시장,전라북도 고창군 해리면 남시길 5,35.45933217,126.5415058,전라북도 ,고창군
730,흥덕전통시장,전라북도 고창군 흥덕면 흥덕시장길 3,35.52058954,126.7002283,전라북도 ,고창군
731,무장전통시장,전라북도 고창군 무장면 왕제산로 725,35.41442786,126.5606051,전라북도 ,고창군
732,고창전통시장,전라북도 고창군 고창읍 동리로 62-11,35.43266509,126.6987705,전라북도 ,고창군
733,대연시장,부산광역시 남구 못골로 56,35.13567924,129.0884205,부산광역시 ,남구
734,남광골목시장,부산광역시 남구 홍곡로 355,35.12372165,129.088896,부산광역시 ,남구
735,용호1동골목시장,부산광역시 남구 용호로 106번길 48,35.12417703,129.1104584,부산광역시 ,남구
736,감만시장,부산광역시 남구 홍곡로 17,35.11633839,129.0822499,부산광역시 ,남구
737,용호골목시장,부산광역시 남구 용호로 177번길 15,35.11637915,129.1119681,부산광역시 ,남구
738,못골골목시장,부산광역시 남구 못골로 66-1,35.13586013,129.0896362,부산광역시 ,남구
739,우암골목시장,부산광역시 남구 우암번영로 26번길 17,35.12652202,129.0708647,부산광역시 ,남구
740,새감만종합시장,부산광역시 남구 홍곡로 3,35.11633324,129.0817101,부산광역시 ,남구
741,하이타운상가백화점,부산광역시 남구 천제등로 11,35.1335714,129.0875329,부산광역시 ,남구
742,용호삼성시장,부산광역시 남구 용호로 106번길 40,35.12389807,129.1105389,부산광역시 ,남구
743,용호시장,부산광역시 남구 동명로 152번길 93,35.11491246,129.1127725,부산광역시 ,남구
744,양곡장터시장,경기도 김포시 양촌읍 양곡1로56번길 13,37.6560943,126.623677,경기도 ,김포시
745,양곡시장,경기도 김포시 양촌읍 양곡로 537,37.654818,126.623703,경기도 ,김포시
746,통진시장,경기도 김포시 통진읍 서암로84번길 1,37.6923594,126.5993151,경기도 ,김포시
747,김포중앙시장,경기도 김포시 북변중로 55,37.626066,126.710509,경기도 ,김포시
748,성환이화시장,충청남도 천안시 서북구 성환읍 성환시장길 12,36.9185375,127.1300331,충청남도 ,천안시
749,병천시장,충청남도 천안시 동남구 병천면 병천2로 7,36.7631738,127.2987313,충청남도 ,천안시
750,성정시장,충청남도 천안시 서북구 성정로 78,36.8135245,127.1388284,충청남도 ,천안시
751,천안역전시장,충청남도 천안시 동남구 공설시장1길 2,36.8091754,127.1489044,충청남도 ,천안시
752,천안중앙시장,충청남도 천안시 동남구 사직2길 19,36.8002692,127.1484548,충청남도 ,천안시
753,원통시장,강원도 인제군 북면 원통로 178번길 4-1,38.1226714,128.2041458,강원도 ,인제군
754,인제시장,강원도 인제군 인제읍 비봉로8번길 14,38.06779329,128.1710138,강원도 ,인제군
755,도일시장,경기도 시흥시 도일로 100-4 일원,37.33939172,126.7840625,경기도 ,시흥시
756,정왕시장,경기도 시흥시 정왕시장길 51/ 52,37.34580601,126.7485691,경기도 ,시흥시
757,남구로시장,서울특별시 구로구 구로동로28길 16-7 일대,37.490741,126.884884,서울특별시 ,구로구
758,가리봉시장,서울특별시 구로구 우마길 15 외 36필지,37.481754,126.889383,서울특별시 ,구로구
759,고척근린시장,서울특별시 구로구 경인로33길 98-11 외 23필지,37.502325,126.850588,서울특별시 ,구로구
760,고척골목시장 상점가,서울특별시 구로구 중앙로10길 8,37.503335,126.862678,서울특별시 ,구로구
761,개봉중앙시장,서울특별시 구로구 개봉로17길 34,37.491793,126.853825,서울특별시 ,구로구
762,오류시장,서울특별시 구로구 경인로19가길 14-1 외 5필지,37.496667,126.843487,서울특별시 ,구로구
763,개봉프라자,서울특별시 구로구 고척로40길 19,37.502055,126.851027,서울특별시 ,구로구
764,고척프라자,서울특별시 구로구 중앙로10길 7,37.503602,126.862712,서울특별시 ,구로구
765,구로시장,서울특별시 구로구 구로동로22길 20-27 일대,37.489419,126.885608,서울특별시 ,구로구
766,성북시장,대구광역시 동구 신암동 327-1,35.8838305,128.6302477,대구광역시 ,동구
767,경주성동공설시장,경상북도 경주시 원화로 281번길 11,35.8454916,129.2163415,경상북도 ,경주시
768,두류종합시장,대구광역시 달서구 당산동길 9,35.8455079,128.5451463,대구광역시 ,달서구
769,봉덕시장,대구광역시 남구 봉덕동 961,35.8458406,128.6037769,대구광역시 ,남구
770,황금시장,대구광역시 수성구 황금동 764,35.8483902,129.1048105,대구광역시 ,수성구
771,정릉시장,서울특별시 성북구 정릉동 400-15,37.6084661,127.0095044,서울특별시 ,성북구
772,수성현대시장,대구광역시 수성구 수성1가 649-76,35.8495613,128.6094733,대구광역시 ,수성구
773,성대시장,대구광역시 남구 대명동 3023-23,35.8502543,128.5730554,대구광역시 ,남구
774,영선신시장,대구광역시 남구 대명동 2014-204,35.8523481,128.5929211,대구광역시 ,남구
775,서남시장,대구광역시 달서구 달구벌대로 329길 17,35.8541368,128.5451405,대구광역시 ,달서구
776,수성시장,대구광역시 수성구 수성2가 39-3,35.8549938,128.6170214,대구광역시 ,수성구
777,동성시장,대구광역시 수성구 수성2가 39-1,35.8559306,128.6171504,대구광역시 ,수성구
778,서대구시장,대구광역시 달서구 명덕로2길 30,35.8606567,128.5709268,대구광역시 ,달서구
779,김제전통시장,전라북도 김제시 사정거리1길 20,35.8017141,126.8837429,전라북도 ,김제시
780,강경대흥시장,경상북도 경주시 감포읍 감포리,35.8074777,129.4994022,경상북도 ,경주시
781,대곡시장,대구광역시 달서구 도원로 24,35.8076234,128.5354821,대구광역시 ,달서구
782,상원시장,대구광역시 달서구 상인로 9,35.8090661,128.5512929,대구광역시 ,달서구
783,대구대동시장,대구광역시 달서구 상원로 22-24,35.8116961,128.5378124,대구광역시 ,달서구
784,전주남부시장,전라북도 전주시 완산구 풍남문1길 19-3,35.8127882,127.1475803,전라북도 ,전주시
785,월배신시장,대구광역시 달서구 월배로 28안길 54,35.8133534,128.5278851,대구광역시 ,달서구
786,자인공설시장,경상북도 경산시 자인면 자인시장길 7-1,35.8169497,128.8230336,경상북도 ,경산시
787,동산상가,대구광역시 중구 큰장로 26길 65(대신동),35.8689152,128.5816941,대구광역시 ,중구
788,서문시장제1지구직물시장,대구광역시 중구 큰장로 28길 10,35.8693479,128.5798148,대구광역시 ,중구
789,서문시장제1지구포목시장,대구광역시 중구 대신동 큰장로 28길 10,35.8693479,128.5798148,대구광역시 ,중구
790,명품프라자상가,대구광역시 중구 큰장로 28길 27,35.8698748,128.5808263,대구광역시 ,중구
791,송현주공시장,대구광역시 달서구 송현로 12안길 38,35.8226907,128.5481333,대구광역시 ,달서구
792,전주신중앙시장(신중앙시장),전라북도 전주시 완산구 태평5길 33,35.8241065,127.1434641,전라북도 ,전주시
793,전주중앙상가,전라북도 전주시 완산구 태평동 36-1,35.8247831,127.1422947,전라북도 ,전주시
794,월성청구시장,대구광역시 달서구 학산로 17,35.8275167,128.5312107,대구광역시 ,달서구
795,태백시장,대구광역시 수성구 들안로 28,35.8323521,128.6171117,대구광역시 ,수성구
796,봉덕신시장,대구광역시 남구 봉덕동 97-80,35.8340188,128.5994591,대구광역시 ,남구
797,와룡시장,대구광역시 달서구 성서서로 347-1(신당동),35.8356335,128.5579962,대구광역시 ,달서구
798,관문상가시장,대구광역시 남구 대명동 1157-10,35.8356335,128.5579962,대구광역시 ,남구
799,도평시장,대구광역시 달서구 도원도동길 8,35.8357845,128.5223885,대구광역시 ,달서구
800,서남신시장,대구광역시 달서구 달구벌대로9길 32,35.8357845,128.5223885,대구광역시 ,달서구
801,명산시장,전라북도 군산시 월명로 470,35.9837379,126.7095675,전라북도 ,군산시
802,거창시장,경상남도 거창군 거창읍 중앙리 154-12,35.6858399,127.9135414,경상남도 ,거창군
803,현풍공설시장,대구광역시 달성군 현풍면 현풍로 6길 5,35.6945685,128.4421203,대구광역시 ,달성군
804,신태인시장,전라북도 정읍시 신태인읍 신태인1길 14,35.7014848,126.8745422,전라북도 ,정읍시
805,모래내시장(전주),전라북도 전주시 덕진구 모래내4길 8-8(인후동2가),35.7014848,126.8745942,전라북도 ,전주시
806,봉계공설시장,울산광역시 울주군 두동면 봉계리525,35.7133229,129.1990791,울산광역시 ,울주군
807,경주중앙시장,경상북도 경주시 금성로 295,35.8440511,129.2063571,경상북도 ,경주시
808,대명신시장,대구광역시 남구 대명동 1374-54,35.8440968,128.5771107,대구광역시 ,남구
809,명덕시장,대구광역시 남구 대명동 139-1,35.8450447,128.5879626,대구광역시 ,남구
810,논공중앙시장,대구광역시 달성군 논공읍 용호로 2길 12,35.7281812,128.4466392,대구광역시 ,달성군
811,오창전통시장,충청북도 청주시 청원구 팔결로 715,35.7417107,127.4555868,충청북도 ,청주시
812,엄정내창시장,충청북도 충주시 엄정면 내창로 191-1,37.0864426,127.9158167,충청북도 ,충주시
813,북마산중앙시장,경상남도 창원시 마산합포구 상남동 40-1,35.7474926,128.1089732,경상남도 ,창원시
814,양북시장,경상북도 경주시 양북면 감은로 53-1,35.7908053,129.4411257,경상북도 ,경주시
815,진안시장(진안고원시장),전라북도 진안군 진안읍 시장1길 16,35.7925361,127.4294775,전라북도 ,진안군
816,금만시장,전라북도 김제시 동서7길 23(요촌동),35.8001167,126.8864377,전라북도 ,김제시
817,안중시장,경기도 평택시 안중읍 안현로서3길,36.9905213,126.9346148,경기도 ,평택시
818,울진시장,경상북도 울진군 울진읍 읍내1길 18,36.9923448,129.4022911,경상북도 ,울진군
819,안성시장,경기도 안성시 서인동 13-43,37.0064191,127.2710363,경기도 ,안성시
820,"농산물종합시장(구,중앙청과시장)",충청북도 충주시 목행산단 7로 24,37.0101203,127.9244731,충청북도 ,충주시
821,목행시장,충청북도 충주시 행정9길 35,37.0139635,127.9173334,충청북도 ,충주시
822,통복시장,경기도 평택시 동복 시장로 25번길 10,37.0159017,127.0111802,경기도 ,평택시
823,삼승원남시장(원남재래시장),충청북도 음성군 삼성면 대성로 615,37.0184829,127.4982676,충청북도 ,음성군
824,매포전통시장(매포재래시장),충청북도 단양군 매포읍 평동리 1139,37.0342252,128.2989955,충청북도 ,단양군
825,서정시장(서정리시장),경기도 평택시 서정동 317,37.0576167,127.0545314,경기도 ,평택시
826,죽변시장,경상북도 울진군 죽변면 죽변리 36-8,37.0590175,129.4223283,경상북도 ,울진군
827,죽산시장,경기도 안성시 죽산면 죽주로 257-5,37.0756358,127.4233831,경기도 ,안성시
828,청주사창시장,충청북도 청주시 흥덕구 사직대로164번길 36(사창동),37.0785843,128.4834634,충청북도 ,청주시
829,경산공설시장,경상북도 경산시 경안로 31길 19,35.8205546,128.7355117,경상북도 ,경산시
830,송탄시장,경기도 평택시 탄현로 346번길24,37.0821714,127.0570716,경기도 ,평택시
831,조암시장,경기도 화성시 우정읍 조암남로 28,37.0834151,126.8183245,경기도 ,화성시
832,장성중앙시장,강원도 태백시 장성1길 190,37.1008368,129.0096715,강원도 ,태백시
833,감만시장,충청북도 음성군 감곡면 장감로 132번길 22,37.1182025,127.6391459,충청북도 ,음성군
834,제천약초시장,충청북도 제천시 원화산로 121,37.1277221,128.2194796,충청북도 ,제천시
835,제천역전한마음시장,충청북도 제천시 내토로 28길 12,37.1289803,128.2063492,충청북도 ,제천시
836,발안만세시장,경기도 화성시 향남읍 평2길 14,37.1318261,126.9089914,경기도 ,화성시
837,제천중앙시장,충청북도 제천시 중앙로1가 77,37.1366943,128.2113564,충청북도 ,제천시
838,내토재래시장,충청북도 제천시 중앙로 1가 32,37.1374951,128.2120227,충청북도 ,제천시
839,박달재전통시장,충청북도 제천시 백운면 평동로 2길 13,37.1384124,128.0231055,충청북도 ,제천시
840,동문시장,충청북도 제천시 중앙로 2가 117-1,37.1385288,128.2134888,충청북도 ,제천시
841,오색시장,경기도 오산시 오산로 272번지,37.1513102,127.0687577,경기도 ,오산시
842,덕산시장,충청북도 제천시 덕산면 도기리 442-4,36.8789723,128.2252496,충청북도 ,제천시
843,당진시장,충청남도 당진시 당진시장길 101-1,36.8792842,126.6779214,충청남도 ,당진시
844,봉화상설시장,경상북도 봉화군 봉화읍 신시장 1길 4,36.8899476,128.7358474,경상북도 ,봉화군
845,성주시장,충청남도 천안시 서북구 성환읍 성환3리 449-135,36.9185221,127.1300353,충청남도 ,천안시
846,둔포전통시장(둔포시장),충청남도 아산시 둔포면 둔포면로 25번길 15,36.9293732,127.0361739,충청남도 ,아산시
847,춘천남부시장,경상북도 봉화군 춘양면 의양로 2길 18,36.9371477,128.9139629,경상북도 ,봉화군
848,대산종합시장,충청남도 서산시 대산읍 충의로 1942,36.9379981,126.4339114,충청남도 ,서산시
849,대소시장,충청북도 음성군 대소면 오태로 104,36.9672648,127.4864637,충청북도 ,음성군
850,관아골상가,충청북도 충주시 관아1길 7,36.9703937,127.9342611,충청북도 ,충주시
851,단양구경시장(단양인정시장),충청북도 단양군 단양읍 도건리 615,36.9711355,128.3720996,충청북도 ,단양군
852,황학시장,서울특별시 중구 퇴계로85길 36,36.9713374,127.9323974,서울특별시 ,중구
853,고령대가야시장,경상북도 고령군 대가야읍 시장3길 29,35.7268216,128.2667403,경상북도 ,고령군
854,부안상설시장,전라북도 부안군 부안읍 서외리 시장길 10-14,35.7269842,126.7335188,전라북도 ,부안군
855,운수대통 생거진천전통시장,충청북도 진천군 진천읍 원덕로390,36.9713394,127.9323944,충청북도 ,진천군
856,현대타운상가,충청북도 충주시 성서1길 50,36.9713738,127.9305314,충청북도 ,충주시
857,성서시장,충청북도 충주시 성서7길 29,36.9714897,127.9311362,충청북도 ,충주시
858,중앙어울림시장,충청북도 충주시 예성로 168,36.9718916,127.9336141,충청북도 ,충주시
859,성서 문화의 거리 상점가,충청북도 충주시 성서8길 21,36.9718916,127.9336141,충청북도 ,충주시
860,우정전통시장,울산광역시 중구 우정동284-8,36.9718916,127.9336141,울산광역시 ,중구
861,중앙도매시장,충청북도 충주시 예성로 168,36.9719073,127.9336195,충청북도 ,충주시
862,계양산전통시장,인천광역시 계양구 병방시장로69 2층,36.9719916,127.9336141,인천광역시 ,계양구
863,충주자유시장,충청북도 충주시 충인6길 16,36.9739332,127.9306751,충청북도 ,충주시
